latitude,longitude,elevation_m,slope_degrees,terrain_type,zone_id,suitable_for_grazing
33.5,-5.2,1734.3,7.6,hills,1,True
33.5,-5.195918,1339.1,15.0,hills,1,True
33.5,-5.191837,1769.9,7.6,hills,1,True
33.5,-5.187755,1561.1,5.0,hills,1,True
33.5,-5.183673,1604.4,7.0,hills,1,True
33.5,-5.179592,1616.9,15.6,hills,1,True
33.5,-5.17551,1778.4,14.7,hills,1,True
33.5,-5.171429,1611.1,8.9,hills,1,True
33.5,-5.167347,1612.2,17.3,hills,1,True
33.5,-5.163265,1412.6,12.1,hills,1,True
33.5,-5.159184,1910.8,6.2,hills,1,True
33.5,-5.155102,1236.5,10.2,hills,1,True
33.5,-5.15102,1414.7,18.2,hills,1,True
33.5,-5.146939,1397.0,12.6,hills,1,True
33.5,-5.142857,1728.5,7.7,hills,1,True
33.5,-5.138776,1935.0,11.1,hills,1,True
33.5,-5.134694,1717.3,15.7,hills,1,True
33.5,-5.130612,1554.3,8.1,hills,1,True
33.5,-5.126531,1787.0,10.0,hills,1,True
33.5,-5.122449,1727.3,16.7,hills,1,True
33.5,-5.118367,1830.6,5.1,hills,1,True
33.5,-5.114286,990.8,7.8,hills,1,True
33.5,-5.110204,1591.4,6.9,hills,1,True
33.5,-5.106122,1292.9,5.0,hills,1,True
33.5,-5.102041,1676.7,8.0,hills,1,True
33.5,-5.097959,1371.1,10.4,hills,1,True
33.5,-5.093878,1525.0,12.0,hills,1,True
33.5,-5.089796,1784.5,10.7,hills,1,True
33.5,-5.085714,2172.5,18.1,hills,1,True
33.5,-5.081633,1199.0,6.7,hills,1,True
33.5,-5.077551,1531.6,14.4,hills,1,True
33.5,-5.073469,1540.3,15.0,hills,1,True
33.5,-5.069388,1333.1,6.3,hills,1,True
33.5,-5.065306,1754.7,13.6,hills,1,True
33.5,-5.061224,1541.6,9.3,hills,1,True
33.5,-5.057143,1221.5,19.5,hills,1,True
33.5,-5.053061,1644.5,6.7,hills,1,True
33.5,-5.04898,1377.1,5.6,hills,1,True
33.5,-5.044898,1833.6,14.5,hills,1,True
33.5,-5.040816,1786.7,5.7,hills,1,True
33.5,-5.036735,1648.2,9.5,hills,1,True
33.5,-5.032653,1788.6,9.8,hills,1,True
33.5,-5.028571,1509.8,10.5,hills,1,True
33.5,-5.02449,1791.0,15.9,hills,1,True
33.5,-5.020408,1715.2,17.0,hills,1,True
33.5,-5.016327,1723.8,18.3,hills,1,True
33.5,-5.012245,1829.5,7.0,hills,1,True
33.5,-5.008163,1733.1,13.2,hills,1,True
33.5,-5.004082,1789.6,9.1,hills,1,True
33.5,-5.0,1791.0,9.0,hills,1,True
33.502041,-5.2,1568.9,12.9,hills,1,True
33.502041,-5.195918,1371.7,16.1,hills,1,True
33.502041,-5.191837,1579.5,13.7,hills,1,True
33.502041,-5.187755,1661.0,18.7,hills,1,True
33.502041,-5.183673,1411.7,6.2,hills,1,True
33.502041,-5.179592,1367.5,19.1,hills,1,True
33.502041,-5.17551,2160.7,6.8,hills,1,True
33.502041,-5.171429,1995.0,5.6,hills,1,True
33.502041,-5.167347,1604.1,6.5,hills,1,True
33.502041,-5.163265,1724.0,11.2,hills,1,True
33.502041,-5.159184,1440.8,14.4,hills,1,True
33.502041,-5.155102,1858.9,10.9,hills,1,True
33.502041,-5.15102,1494.0,15.2,hills,1,True
33.502041,-5.146939,1642.4,7.7,hills,1,True
33.502041,-5.142857,1703.7,15.2,hills,1,True
33.502041,-5.138776,1442.4,18.4,hills,1,True
33.502041,-5.134694,1672.0,5.1,hills,1,True
33.502041,-5.130612,1966.8,8.6,hills,1,True
33.502041,-5.126531,1444.9,14.6,hills,1,True
33.502041,-5.122449,1590.2,5.3,hills,1,True
33.502041,-5.118367,1481.9,19.3,hills,1,True
33.502041,-5.114286,1855.8,6.6,hills,1,True
33.502041,-5.110204,1793.5,11.6,hills,1,True
33.502041,-5.106122,1524.8,14.1,hills,1,True
33.502041,-5.102041,1667.7,18.5,hills,1,True
33.502041,-5.097959,1590.9,11.8,hills,1,True
33.502041,-5.093878,2078.7,18.8,hills,1,True
33.502041,-5.089796,1661.3,10.2,hills,1,True
33.502041,-5.085714,1715.8,18.0,hills,1,True
33.502041,-5.081633,1283.4,14.1,hills,1,True
33.502041,-5.077551,1487.0,17.2,hills,1,True
33.502041,-5.073469,1539.7,13.6,hills,1,True
33.502041,-5.069388,1694.4,11.4,hills,1,True
33.502041,-5.065306,1628.6,6.7,hills,1,True
33.502041,-5.061224,1687.3,16.8,hills,1,True
33.502041,-5.057143,1368.1,17.0,hills,1,True
33.502041,-5.053061,1880.5,13.0,hills,1,True
33.502041,-5.04898,1900.1,16.3,hills,1,True
33.502041,-5.044898,1813.4,18.4,hills,1,True
33.502041,-5.040816,1513.9,19.9,hills,1,True
33.502041,-5.036735,1140.0,20.0,hills,1,True
33.502041,-5.032653,1698.2,19.9,hills,1,True
33.502041,-5.028571,1933.8,7.7,hills,1,True
33.502041,-5.02449,1744.6,5.3,hills,1,True
33.502041,-5.020408,1570.1,17.6,hills,1,True
33.502041,-5.016327,1727.6,17.3,hills,1,True
33.502041,-5.012245,1785.6,9.3,hills,1,True
33.502041,-5.008163,1407.6,16.8,hills,1,True
33.502041,-5.004082,2025.9,14.7,hills,1,True
33.502041,-5.0,1654.8,14.9,hills,1,True
33.504082,-5.2,1833.5,18.7,hills,1,True
33.504082,-5.195918,1478.7,11.9,hills,1,True
33.504082,-5.191837,1881.5,18.1,hills,1,True
33.504082,-5.187755,1782.9,16.7,hills,1,True
33.504082,-5.183673,1728.7,11.1,hills,1,True
33.504082,-5.179592,1459.8,8.1,hills,1,True
33.504082,-5.17551,1980.7,19.4,hills,1,True
33.504082,-5.171429,1754.7,17.2,hills,1,True
33.504082,-5.167347,1707.0,6.1,hills,1,True
33.504082,-5.163265,1544.5,17.2,hills,1,True
33.504082,-5.159184,1465.0,5.7,hills,1,True
33.504082,-5.155102,1755.7,14.8,hills,1,True
33.504082,-5.15102,1613.6,8.9,hills,1,True
33.504082,-5.146939,1536.6,6.8,hills,1,True
33.504082,-5.142857,1954.6,5.7,hills,1,True
33.504082,-5.138776,1961.9,15.5,hills,1,True
33.504082,-5.134694,1458.7,6.7,hills,1,True
33.504082,-5.130612,1743.5,16.4,hills,1,True
33.504082,-5.126531,1797.4,6.7,hills,1,True
33.504082,-5.122449,1542.8,12.8,hills,1,True
33.504082,-5.118367,1365.8,11.3,hills,1,True
33.504082,-5.114286,1793.8,16.9,hills,1,True
33.504082,-5.110204,1553.2,17.3,hills,1,True
33.504082,-5.106122,1566.1,9.7,hills,1,True
33.504082,-5.102041,1266.9,10.4,hills,1,True
33.504082,-5.097959,1564.3,11.4,hills,1,True
33.504082,-5.093878,1662.4,10.6,hills,1,True
33.504082,-5.089796,1601.9,9.4,hills,1,True
33.504082,-5.085714,1868.1,12.5,hills,1,True
33.504082,-5.081633,1467.6,18.5,hills,1,True
33.504082,-5.077551,1517.1,14.1,hills,1,True
33.504082,-5.073469,1558.1,6.1,hills,1,True
33.504082,-5.069388,1532.9,12.1,hills,1,True
33.504082,-5.065306,1751.8,8.2,hills,1,True
33.504082,-5.061224,1517.4,16.7,hills,1,True
33.504082,-5.057143,1600.6,17.9,hills,1,True
33.504082,-5.053061,1490.7,18.4,hills,1,True
33.504082,-5.04898,1701.8,14.3,hills,1,True
33.504082,-5.044898,2069.9,10.5,hills,1,True
33.504082,-5.040816,2041.5,16.4,hills,1,True
33.504082,-5.036735,1676.6,7.2,hills,1,True
33.504082,-5.032653,1449.6,6.8,hills,1,True
33.504082,-5.028571,1465.1,8.8,hills,1,True
33.504082,-5.02449,1475.9,6.1,hills,1,True
33.504082,-5.020408,1656.6,6.3,hills,1,True
33.504082,-5.016327,1550.0,13.9,hills,1,True
33.504082,-5.012245,1508.0,17.2,hills,1,True
33.504082,-5.008163,1717.3,14.8,hills,1,True
33.504082,-5.004082,1796.5,5.4,hills,1,True
33.504082,-5.0,1743.2,6.8,hills,1,True
33.506122,-5.2,1610.4,19.2,hills,1,True
33.506122,-5.195918,1438.0,14.8,hills,1,True
33.506122,-5.191837,1436.7,16.6,hills,1,True
33.506122,-5.187755,2094.2,5.4,hills,1,True
33.506122,-5.183673,1978.2,18.6,hills,1,True
33.506122,-5.179592,1981.6,10.1,hills,1,True
33.506122,-5.17551,1382.0,15.1,hills,1,True
33.506122,-5.171429,2239.7,13.0,hills,1,True
33.506122,-5.167347,1741.6,19.5,hills,1,True
33.506122,-5.163265,1387.4,14.4,hills,1,True
33.506122,-5.159184,1827.3,10.0,hills,1,True
33.506122,-5.155102,1433.3,6.1,hills,1,True
33.506122,-5.15102,1481.7,10.5,hills,1,True
33.506122,-5.146939,1659.8,15.4,hills,1,True
33.506122,-5.142857,1772.5,18.9,hills,1,True
33.506122,-5.138776,1847.5,7.7,hills,1,True
33.506122,-5.134694,1976.8,19.0,hills,1,True
33.506122,-5.130612,1459.2,6.8,hills,1,True
33.506122,-5.126531,1024.6,10.3,hills,1,True
33.506122,-5.122449,1594.2,5.5,hills,1,True
33.506122,-5.118367,2065.3,5.0,hills,1,True
33.506122,-5.114286,1848.4,16.5,hills,1,True
33.506122,-5.110204,1685.0,17.3,hills,1,True
33.506122,-5.106122,1806.6,15.5,hills,1,True
33.506122,-5.102041,1230.6,16.7,hills,1,True
33.506122,-5.097959,1428.8,18.1,hills,1,True
33.506122,-5.093878,1961.4,6.8,hills,1,True
33.506122,-5.089796,1627.3,10.2,hills,1,True
33.506122,-5.085714,2022.3,15.5,hills,1,True
33.506122,-5.081633,1573.4,10.8,hills,1,True
33.506122,-5.077551,1518.5,14.1,hills,1,True
33.506122,-5.073469,1463.7,6.1,hills,1,True
33.506122,-5.069388,1697.0,16.5,hills,1,True
33.506122,-5.065306,1723.2,9.3,hills,1,True
33.506122,-5.061224,1421.4,6.0,hills,1,True
33.506122,-5.057143,1681.1,6.1,hills,1,True
33.506122,-5.053061,2097.4,18.5,hills,1,True
33.506122,-5.04898,1357.7,16.3,hills,1,True
33.506122,-5.044898,1690.0,19.3,hills,1,True
33.506122,-5.040816,1828.4,12.5,hills,1,True
33.506122,-5.036735,1821.0,5.5,hills,1,True
